week_start,vehicle_id,vehicle_type,fuel_type,gallons,distance_km,engine_hours,avg_speed_kph
2022-01-24,VH-010,Heavy Truck,Diesel,95.4,676.5,31.3,60.2
2022-01-24,VH-011,Van,Gasoline,46.04,571.0,19.3,44.3
2022-01-24,VH-012,Van,Gasoline,40.26,522.3,19.1,48.2
2022-01-24,VH-013,Van,Gasoline,,,16.6,45.3
2022-01-24,VH-014,Van,Diesel,34.94,370.9,16.5,46.1
2022-01-24,VH-015,Van,Diesel,46.97,447.9,20.9,47.9
2022-01-24,VH-016,SUV,Gasoline,28.9,412.1,15.4,59.2
2022-01-24,VH-017,SUV,Gasoline,30.96,463.9,14.6,55.4
2022-01-24,VH-018,SUV,Gasoline,25.51,398.9,14.0,61.2
2022-01-24,VH-019,SUV,Gasoline,36.13,574.9,17.0,59.8
2022-01-24,VH-020,SUV,Gasoline,32.16,538.0,15.1,60.3
2022-01-31,VH-001,Light Truck,Gasoline,43.38,604.9,19.0,59.0
2022-01-31,VH-002,Light Truck,Gasoline,47.12,630.9,23.9,54.6
2022-01-31,VH-003,Light Truck,Gasoline,46.41,660.6,19.3,59.0
2022-01-31,VH-004,Light Truck,Gasoline,48.85,654.8,20.2,57.9
2022-01-31,VH-005,Light Truck,Gasoline,60.57,766.5,23.3,52.9
2022-01-31,VH-006,Heavy Truck,Diesel,134.58,852.5,39.3,63.3
2022-01-31,VH-007,Heavy Truck,Diesel,104.89,662.0,33.5,60.2
2022-01-31,VH-008,Heavy Truck,Diesel,120.66,736.2,41.2,64.0
2022-01-31,VH-009,Heavy Truck,Diesel,138.18,867.4,41.7,59.1
2022-01-31,VH-010,Heavy Truck,Diesel,118.27,669.8,33.6,65.5
2022-01-31,VH-011,Van,Gasoline,42.23,514.4,19.5,46.8
2022-01-31,VH-012,Van,Gasoline,46.68,570.4,20.4,45.3
2022-01-31,VH-013,Van,Gasoline,34.98,476.9,17.1,41.6
2022-01-31,VH-014,Van,Diesel,38.92,372.9,15.1,44.8
2022-01-31,VH-015,Van,Diesel,,,20.5,45.5
2022-01-31,VH-016,SUV,Gasoline,32.27,416.9,15.3,53.8
2022-01-31,VH-017,SUV,Gasoline,26.61,406.6,14.8,56.9
2022-01-31,VH-018,SUV,Gasoline,30.92,397.6,12.9,53.5
2022-01-31,VH-019,SUV,Gasoline,41.08,525.4,18.6,60.6
2022-01-31,VH-020,SUV,Gasoline,36.15,579.9,15.8,53.5
2022-02-07,VH-001,Light Truck,Gasoline,43.31,645.8,20.5,52.5
2022-02-07,VH-002,Light Truck,Gasoline,55.82,610.1,22.8,57.2
2022-02-07,VH-003,Light Truck,Gasoline,47.7,652.1,17.4,50.8
2022-02-07,VH-004,Light Truck,Gasoline,49.25,694.0,19.7,56.9
2022-02-07,VH-005,Light Truck,Gasoline,57.43,736.4,21.6,57.4
2022-02-07,VH-006,Heavy Truck,Diesel,135.51,710.8,42.9,64.8
2022-02-07,VH-007,Heavy Truck,Diesel,116.53,690.7,35.1,60.4
2022-02-07,VH-008,Heavy Truck,Diesel,144.59,717.1,43.3,63.3
2022-02-07,VH-009,Heavy Truck,Diesel,150.68,853.1,44.4,66.6
2022-02-07,VH-010,Heavy Truck,Diesel,117.59,671.2,32.3,61.4
2022-02-07,VH-011,Van,Gasoline,40.78,663.0,21.4,42.0
2022-02-07,VH-012,Van,Gasoline,,,19.9,44.1
2022-02-07,VH-013,Van,Gasoline,40.37,467.8,16.3,47.1
2022-02-07,VH-014,Van,Diesel,41.36,413.5,15.5,41.5
2022-02-07,VH-015,Van,Diesel,44.15,537.7,20.9,46.9
2022-02-07,VH-016,SUV,Gasoline,32.08,463.6,16.3,54.2
2022-02-07,VH-017,SUV,Gasoline,29.7,401.2,14.3,57.8
2022-02-07,VH-018,SUV,Gasoline,27.93,458.0,13.6,59.9
2022-02-07,VH-019,SUV,Gasoline,34.25,484.2,17.0,54.5
2022-02-07,VH-020,SUV,Gasoline,35.96,459.6,15.8,57.9
2022-02-14,VH-001,Light Truck,Gasoline,52.6,614.2,19.4,51.5
2022-02-14,VH-002,Light Truck,Gasoline,48.64,607.6,20.2,55.3
2022-02-14,VH-003,Light Truck,Gasoline,48.96,576.8,19.6,51.7
2022-02-14,VH-004,Light Truck,Gasoline,46.76,673.0,20.4,54.7
2022-02-14,VH-005,Light Truck,Gasoline,50.36,609.0,25.5,54.8
2022-02-14,VH-006,Heavy Truck,Diesel,131.47,711.9,40.1,57.6
2022-02-14,VH-007,Heavy Truck,Diesel,122.49,688.3,38.5,58.2
2022-02-14,VH-008,Heavy Truck,Diesel,140.07,900.0,37.5,62.2
2022-02-14,VH-009,Heavy Truck,Diesel,144.08,981.1,46.6,60.1
2022-02-14,VH-010,Heavy Truck,Diesel,114.37,724.0,35.3,59.1
2022-02-14,VH-011,Van,Gasoline,,,18.8,41.9
2022-02-14,VH-012,Van,Gasoline,40.98,592.2,18.6,43.1
2022-02-14,VH-013,Van,Gasoline,38.74,506.0,18.0,48.1
2022-02-14,VH-014,Van,Diesel,39.73,416.1,17.6,44.5
2022-02-14,VH-015,Van,Diesel,51.67,576.3,22.4,41.9
2022-02-14,VH-016,SUV,Gasoline,29.32,495.6,15.6,56.0
2022-02-14,VH-017,SUV,Gasoline,29.45,447.9,15.3,58.0
2022-02-14,VH-018,SUV,Gasoline,25.37,364.8,13.9,56.4
2022-02-14,VH-019,SUV,Gasoline,32.59,617.2,19.3,58.7
2022-02-14,VH-020,SUV,Gasoline,37.59,529.5,16.0,53.7
2022-02-21,VH-001,Light Truck,Gasoline,46.45,631.7,22.0,52.2
2022-02-21,VH-002,Light Truck,Gasoline,53.25,664.6,20.5,53.7
2022-02-21,VH-003,Light Truck,Gasoline,45.34,623.1,18.2,56.7
2022-02-21,VH-004,Light Truck,Gasoline,51.41,656.4,20.3,54.6
2022-02-21,VH-005,Light Truck,Gasoline,51.71,795.8,23.0,55.1
2022-02-21,VH-006,Heavy Truck,Diesel,142.49,842.7,38.5,58.9
2022-02-21,VH-007,Heavy Truck,Diesel,130.59,773.6,36.9,59.1
2022-02-21,VH-008,Heavy Truck,Diesel,153.53,828.2,41.3,58.2
2022-02-21,VH-009,Heavy Truck,Diesel,152.82,832.0,39.5,62.5
2022-02-21,VH-010,Heavy Truck,Diesel,102.51,790.2,35.1,61.6
2022-02-21,VH-011,Van,Gasoline,45.84,589.4,21.0,45.1
2022-02-21,VH-012,Van,Gasoline,44.41,653.1,18.5,45.4
2022-02-21,VH-013,Van,Gasoline,40.32,509.7,18.6,47.6
2022-02-21,VH-014,Van,Diesel,42.06,394.3,17.6,45.1
2022-02-21,VH-015,Van,Diesel,48.22,491.7,21.4,48.6
2022-02-21,VH-016,SUV,Gasoline,27.9,462.3,14.9,58.5
2022-02-21,VH-017,SUV,Gasoline,27.62,396.4,13.2,59.8
2022-02-21,VH-018,SUV,Gasoline,26.17,454.1,12.8,60.3
2022-02-21,VH-019,SUV,Gasoline,38.49,518.9,18.7,61.0
2022-02-21,VH-020,SUV,Gasoline,33.23,429.7,16.8,58.8
2022-02-28,VH-001,Light Truck,Gasoline,50.48,587.6,20.4,54.6
2022-02-28,VH-002,Light Truck,Gasoline,49.97,690.3,20.8,54.7
2022-02-28,VH-003,Light Truck,Gasoline,41.46,589.4,19.5,58.1
2022-02-28,VH-004,Light Truck,Gasoline,49.96,572.7,19.4,56.9
2022-02-28,VH-005,Light Truck,Gasoline,58.25,594.5,21.4,56.2
2022-02-28,VH-006,Heavy Truck,Diesel,156.87,912.2,38.6,58.0
2022-02-28,VH-007,Heavy Truck,Diesel,136.79,748.1,36.4,66.0
2022-02-28,VH-008,Heavy Truck,Diesel,152.23,808.0,38.7,58.5
2022-02-28,VH-009,Heavy Truck,Diesel,154.42,1002.1,39.6,57.8
2022-02-28,VH-010,Heavy Truck,Diesel,119.29,648.1,35.1,58.5
2022-02-28,VH-011,Van,Gasoline,39.56,541.0,18.1,47.2
2022-02-28,VH-012,Van,Gasoline,42.44,507.3,19.2,43.9
2022-02-28,VH-013,Van,Gasoline,37.46,492.1,16.5,47.5
2022-02-28,VH-014,Van,Diesel,39.03,410.9,15.4,45.5
2022-02-28,VH-015,Van,Diesel,58.06,501.4,23.0,46.1
2022-02-28,VH-016,SUV,Gasoline,30.65,477.8,16.1,53.8
2022-02-28,VH-017,SUV,Gasoline,27.62,465.0,13.5,60.8
2022-02-28,VH-018,SUV,Gasoline,26.71,432.3,14.5,59.6
2022-02-28,VH-019,SUV,Gasoline,36.82,586.0,18.5,61.7
2022-02-28,VH-020,SUV,Gasoline,31.43,485.3,17.1,60.2
2022-03-07,VH-001,Light Truck,Gasoline,43.58,636.0,19.0,51.8
2022-03-07,VH-002,Light Truck,Gasoline,56.25,658.8,24.2,57.9
2022-03-07,VH-003,Light Truck,Gasoline,46.01,548.3,20.1,57.2
2022-03-07,VH-004,Light Truck,Gasoline,41.3,669.4,18.7,59.1
2022-03-07,VH-005,Light Truck,Gasoline,55.75,781.8,25.6,57.7
2022-03-07,VH-006,Heavy Truck,Diesel,153.16,741.2,39.4,61.6
2022-03-07,VH-007,Heavy Truck,Diesel,133.59,797.2,37.3,66.4
2022-03-07,VH-008,Heavy Truck,Diesel,135.93,754.6,42.7,62.6
2022-03-07,VH-009,Heavy Truck,Diesel,144.92,817.9,45.2,66.1
2022-03-07,VH-010,Heavy Truck,Diesel,115.86,640.4,35.3,60.1
2022-03-07,VH-011,Van,Gasoline,37.58,644.9,18.6,44.7
2022-03-07,VH-012,Van,Gasoline,42.62,634.2,19.1,46.7
2022-03-07,VH-013,Van,Gasoline,35.14,438.3,17.3,44.3
2022-03-07,VH-014,Van,Diesel,36.41,405.5,16.0,48.2
2022-03-07,VH-015,Van,Diesel,47.94,576.1,21.2,48.4
2022-03-07,VH-016,SUV,Gasoline,29.12,406.1,14.2,61.2
2022-03-07,VH-017,SUV,Gasoline,28.42,427.8,14.4,53.6
2022-03-07,VH-018,SUV,Gasoline,25.71,364.8,14.3,54.0
2022-03-07,VH-019,SUV,Gasoline,32.63,481.5,19.4,56.4
2022-03-07,VH-020,SUV,Gasoline,35.73,416.0,18.0,54.7
2022-03-14,VH-001,Light Truck,Gasoline,,,20.9,50.8
2022-03-14,VH-002,Light Truck,Gasoline,53.45,594.7,21.6,52.1
2022-03-14,VH-003,Light Truck,Gasoline,44.66,549.4,19.8,54.8
2022-03-14,VH-004,Light Truck,Gasoline,45.14,513.1,20.2,58.9
2022-03-14,VH-005,Light Truck,Gasoline,55.87,750.2,23.5,54.6
2022-03-14,VH-006,Heavy Truck,Diesel,130.92,881.3,38.4,63.8
2022-03-14,VH-007,Heavy Truck,Diesel,144.02,693.0,32.1,63.1
2022-03-14,VH-008,Heavy Truck,Diesel,140.41,935.4,40.1,60.3
2022-03-14,VH-009,Heavy Truck,Diesel,159.91,948.7,43.3,58.0
2022-03-14,VH-010,Heavy Truck,Diesel,131.35,767.1,34.1,64.2
2022-03-14,VH-011,Van,Gasoline,40.66,524.8,19.4,44.7
2022-03-14,VH-012,Van,Gasoline,35.95,541.0,20.1,44.1
2022-03-14,VH-013,Van,Gasoline,39.07,428.7,18.5,42.1
2022-03-14,VH-014,Van,Diesel,44.32,471.6,16.4,45.6
2022-03-14,VH-015,Van,Diesel,52.0,494.6,20.4,46.2
2022-03-14,VH-016,SUV,Gasoline,32.13,472.2,16.8,58.9
2022-03-14,VH-017,SUV,Gasoline,27.56,370.8,14.5,55.4
2022-03-14,VH-018,SUV,Gasoline,29.34,390.2,14.9,58.7
2022-03-14,VH-019,SUV,Gasoline,37.58,594.6,19.2,59.1
2022-03-14,VH-020,SUV,Gasoline,28.57,545.7,17.9,55.8
2022-03-21,VH-001,Light Truck,Gasoline,46.98,545.5,19.6,50.7
2022-03-21,VH-002,Light Truck,Gasoline,,,20.8,56.2
2022-03-21,VH-003,Light Truck,Gasoline,44.18,492.8,18.6,53.6
2022-03-21,VH-004,Light Truck,Gasoline,46.84,622.2,20.4,51.3
2022-03-21,VH-005,Light Truck,Gasoline,47.46,691.5,24.2,53.0
2022-03-21,VH-006,Heavy Truck,Diesel,149.1,891.0,37.4,64.5
2022-03-21,VH-007,Heavy Truck,Diesel,131.8,759.6,36.3,61.9
2022-03-21,VH-008,Heavy Truck,Diesel,135.18,890.7,40.5,57.1
2022-03-21,VH-009,Heavy Truck,Diesel,,,40.4,60.3
2022-03-21,VH-010,Heavy Truck,Diesel,131.14,677.3,31.6,64.0
2022-03-21,VH-011,Van,Gasoline,43.91,616.6,18.4,47.6
2022-03-21,VH-012,Van,Gasoline,34.82,615.8,20.9,45.5
2022-03-21,VH-013,Van,Gasoline,36.82,474.9,16.0,41.6
2022-03-21,VH-014,Van,Diesel,45.95,456.5,17.3,48.0
2022-03-21,VH-015,Van,Diesel,60.02,526.4,21.4,45.2
2022-03-21,VH-016,SUV,Gasoline,27.85,416.6,14.9,54.9
2022-03-21,VH-017,SUV,Gasoline,24.26,402.2,15.2,56.6
2022-03-21,VH-018,SUV,Gasoline,28.83,439.6,13.4,54.7
2022-03-21,VH-019,SUV,Gasoline,35.14,554.6,18.6,55.0
2022-03-21,VH-020,SUV,Gasoline,31.81,514.3,17.7,57.5
2022-03-28,VH-001,Light Truck,Gasoline,44.95,594.9,20.8,58.2
2022-03-28,VH-002,Light Truck,Gasoline,44.72,548.8,22.1,53.3
2022-03-28,VH-003,Light Truck,Gasoline,36.83,533.6,18.2,54.6
2022-03-28,VH-004,Light Truck,Gasoline,47.45,495.6,21.6,58.1
2022-03-28,VH-005,Light Truck,Gasoline,51.18,652.6,23.7,57.6
2022-03-28,VH-006,Heavy Truck,Diesel,151.08,1013.0,40.3,60.2
2022-03-28,VH-007,Heavy Truck,Diesel,125.55,721.3,32.3,66.0
2022-03-28,VH-008,Heavy Truck,Diesel,163.08,941.3,37.1,59.5
2022-03-28,VH-009,Heavy Truck,Diesel,163.48,1012.3,39.6,60.7
2022-03-28,VH-010,Heavy Truck,Diesel,123.77,729.7,33.0,64.9
2022-03-28,VH-011,Van,Gasoline,35.99,490.1,20.8,43.4
2022-03-28,VH-012,Van,Gasoline,40.36,606.0,20.9,43.8
2022-03-28,VH-013,Van,Gasoline,31.66,459.5,18.9,46.4
2022-03-28,VH-014,Van,Diesel,44.8,509.9,15.6,44.1
2022-03-28,VH-015,Van,Diesel,60.92,612.7,22.4,46.7
2022-03-28,VH-016,SUV,Gasoline,29.01,451.4,15.1,56.7
2022-03-28,VH-017,SUV,Gasoline,24.39,362.3,15.4,57.9
2022-03-28,VH-018,SUV,Gasoline,24.16,346.5,15.1,54.3
2022-03-28,VH-019,SUV,Gasoline,36.62,566.9,16.4,56.5
2022-03-28,VH-020,SUV,Gasoline,28.69,454.7,15.7,61.1
2022-04-04,VH-001,Light Truck,Gasoline,46.97,508.2,20.0,54.2
2022-04-04,VH-002,Light Truck,Gasoline,45.18,612.4,21.4,57.2
2022-04-04,VH-003,Light Truck,Gasoline,41.06,495.9,20.1,54.7
2022-04-04,VH-004,Light Truck,Gasoline,42.04,636.1,22.1,54.7
2022-04-04,VH-005,Light Truck,Gasoline,49.05,657.4,25.6,57.8
2022-04-04,VH-006,Heavy Truck,Diesel,142.69,875.9,40.2,65.7
2022-04-04,VH-007,Heavy Truck,Diesel,126.65,936.5,37.5,59.9
2022-04-04,VH-008,Heavy Truck,Diesel,149.83,1077.2,36.9,61.4
2022-04-04,VH-009,Heavy Truck,Diesel,158.18,1012.2,41.2,57.3
2022-04-04,VH-010,Heavy Truck,Diesel,,,35.6,60.8
2022-04-04,VH-011,Van,Gasoline,43.79,607.3,20.7,47.1
2022-04-04,VH-012,Van,Gasoline,36.46,586.5,20.2,42.4
2022-04-04,VH-013,Van,Gasoline,33.8,404.8,15.9,43.2
2022-04-04,VH-014,Van,Diesel,45.28,491.8,16.3,42.2
2022-04-04,VH-015,Van,Diesel,55.13,514.8,20.6,47.1
2022-04-04,VH-016,SUV,Gasoline,25.82,479.2,15.7,53.5
2022-04-04,VH-017,SUV,Gasoline,24.48,349.6,13.9,59.1
2022-04-04,VH-018,SUV,Gasoline,25.62,411.4,12.9,62.4
2022-04-04,VH-019,SUV,Gasoline,33.69,503.3,19.8,58.5
2022-04-04,VH-020,SUV,Gasoline,,,18.4,55.7
2022-04-11,VH-001,Light Truck,Gasoline,46.2,532.1,21.2,56.1
2022-04-11,VH-002,Light Truck,Gasoline,50.33,584.4,20.3,55.4
2022-04-11,VH-003,Light Truck,Gasoline,37.1,563.2,18.8,56.7
2022-04-11,VH-004,Light Truck,Gasoline,46.1,481.5,21.3,54.6
2022-04-11,VH-005,Light Truck,Gasoline,44.41,586.1,21.3,58.8
2022-04-11,VH-006,Heavy Truck,Diesel,178.24,979.3,37.2,64.5
2022-04-11,VH-007,Heavy Truck,Diesel,138.02,939.2,37.6,60.3
2022-04-11,VH-008,Heavy Truck,Diesel,156.66,1095.1,41.6,65.9
2022-04-11,VH-009,Heavy Truck,Diesel,192.71,1047.5,42.4,66.2
2022-04-11,VH-010,Heavy Truck,Diesel,141.53,854.5,29.7,63.0
2022-04-11,VH-011,Van,Gasoline,39.64,515.4,18.4,46.2
2022-04-11,VH-012,Van,Gasoline,38.9,515.6,20.2,43.9
2022-04-11,VH-013,Van,Gasoline,36.82,448.9,19.0,43.4
2022-04-11,VH-014,Van,Diesel,50.6,410.1,16.7,44.0
2022-04-11,VH-015,Van,Diesel,61.65,690.6,19.5,45.8
2022-04-11,VH-016,SUV,Gasoline,25.0,367.3,16.2,56.8
2022-04-11,VH-017,SUV,Gasoline,26.2,399.0,14.6,62.2
2022-04-11,VH-018,SUV,Gasoline,27.45,396.0,14.2,57.1
2022-04-11,VH-019,SUV,Gasoline,31.09,438.6,18.9,58.0
2022-04-11,VH-020,SUV,Gasoline,31.18,427.9,16.0,57.5
2022-04-18,VH-001,Light Truck,Gasoline,40.5,620.4,20.3,51.7
2022-04-18,VH-002,Light Truck,Gasoline,46.53,680.8,22.1,51.4
2022-04-18,VH-003,Light Truck,Gasoline,43.06,485.8,18.3,51.2
2022-04-18,VH-004,Light Truck,Gasoline,46.37,605.3,21.0,58.8
2022-04-18,VH-005,Light Truck,Gasoline,52.76,638.2,21.6,52.4
2022-04-18,VH-006,Heavy Truck,Diesel,174.03,845.9,39.6,60.7
2022-04-18,VH-007,Heavy Truck,Diesel,147.58,913.2,32.2,60.1
2022-04-18,VH-008,Heavy Truck,Diesel,173.67,1007.7,41.8,65.2
2022-04-18,VH-009,Heavy Truck,Diesel,196.49,1115.2,42.0,63.8
2022-04-18,VH-010,Heavy Truck,Diesel,146.83,884.5,33.3,58.8
2022-04-18,VH-011,Van,Gasoline,38.12,604.5,18.3,42.3
2022-04-18,VH-012,Van,Gasoline,34.5,493.3,20.3,43.9
2022-04-18,VH-013,Van,Gasoline,36.58,512.2,16.5,46.0
2022-04-18,VH-014,Van,Diesel,42.41,451.1,16.3,45.0
2022-04-18,VH-015,Van,Diesel,66.67,555.8,21.7,46.6
2022-04-18,VH-016,SUV,Gasoline,30.1,425.1,16.4,53.6
2022-04-18,VH-017,SUV,Gasoline,26.35,391.0,14.5,60.5
2022-04-18,VH-018,SUV,Gasoline,26.37,382.6,14.5,56.0
2022-04-18,VH-019,SUV,Gasoline,32.55,535.1,18.7,56.1
2022-04-18,VH-020,SUV,Gasoline,27.15,447.2,16.7,55.3
2022-04-25,VH-001,Light Truck,Gasoline,40.31,580.9,21.2,58.2
2022-04-25,VH-002,Light Truck,Gasoline,42.41,577.8,22.6,53.4
2022-04-25,VH-003,Light Truck,Gasoline,37.11,469.3,17.4,53.2
2022-04-25,VH-004,Light Truck,Gasoline,43.07,500.4,21.6,52.0
2022-04-25,VH-005,Light Truck,Gasoline,49.63,593.9,24.7,55.0
2022-04-25,VH-006,Heavy Truck,Diesel,165.67,946.7,35.4,66.4
2022-04-25,VH-007,Heavy Truck,Diesel,165.12,823.0,34.0,57.5
2022-04-25,VH-008,Heavy Truck,Diesel,183.5,1065.8,39.5,62.4
2022-04-25,VH-009,Heavy Truck,Diesel,176.79,1214.5,44.4,64.6
2022-04-25,VH-010,Heavy Truck,Diesel,133.86,848.6,30.4,62.5
2022-04-25,VH-011,Van,Gasoline,38.35,574.2,19.2,48.5
2022-04-25,VH-012,Van,Gasoline,33.69,588.5,19.0,47.1
2022-04-25,VH-013,Van,Gasoline,36.51,493.9,16.3,45.1
2022-04-25,VH-014,Van,Diesel,42.29,435.2,15.7,44.8
2022-04-25,VH-015,Van,Diesel,62.97,634.6,20.3,45.8
2022-04-25,VH-016,SUV,Gasoline,30.73,442.0,14.8,56.5
2022-04-25,VH-017,SUV,Gasoline,25.39,401.5,13.5,60.9
2022-04-25,VH-018,SUV,Gasoline,26.28,432.9,14.3,60.8
2022-04-25,VH-019,SUV,Gasoline,33.77,415.9,18.0,62.3
2022-04-25,VH-020,SUV,Gasoline,32.0,460.7,17.5,58.8
2022-05-02,VH-001,Light Truck,Gasoline,43.04,558.6,21.7,51.9
2022-05-02,VH-002,Light Truck,Gasoline,40.86,674.5,20.6,50.8
2022-05-02,VH-003,Light Truck,Gasoline,35.63,530.9,18.6,57.4
2022-05-02,VH-004,Light Truck,Gasoline,45.16,573.3,18.4,51.8
2022-05-02,VH-005,Light Truck,Gasoline,46.17,652.8,23.5,53.4
2022-05-02,VH-006,Heavy Truck,Diesel,185.24,973.3,38.0,64.7
2022-05-02,VH-007,Heavy Truck,Diesel,156.23,968.5,35.8,58.9
2022-05-02,VH-008,Heavy Truck,Diesel,173.34,950.6,43.4,60.0
2022-05-02,VH-009,Heavy Truck,Diesel,170.01,1176.4,40.9,60.5
2022-05-02,VH-010,Heavy Truck,Diesel,149.37,787.9,29.9,63.8
2022-05-02,VH-011,Van,Gasoline,42.26,576.5,21.9,47.2
2022-05-02,VH-012,Van,Gasoline,34.81,542.2,18.8,44.6
2022-05-02,VH-013,Van,Gasoline,32.51,413.2,17.5,48.1
2022-05-02,VH-014,Van,Diesel,44.08,514.0,16.5,43.1
2022-05-02,VH-015,Van,Diesel,62.92,669.1,19.1,44.4
2022-05-02,VH-016,SUV,Gasoline,24.59,441.1,13.9,58.5
2022-05-02,VH-017,SUV,Gasoline,24.36,422.5,15.2,57.8
2022-05-02,VH-018,SUV,Gasoline,27.73,354.2,14.5,61.8
